Year,Peace,War,Peace %,War %,TOTAL,,,
1910,1603,3820,30%,70%,5423,,,
1911,2233,4424,34%,66%,6657,,,
1912,2422,5128,32%,68%,7550,,,
1913,2680,4576,37%,63%,7256,,,
1914,3987,16213,20%,80%,20200,,,
1915,5407,24427,18%,82%,29834,,,
1916,5446,21125,20%,80%,26571,,,
1917,6306,25894,20%,80%,32200,,,
1918,6983,28135,20%,80%,35118,,,
1919,9502,19882,32%,68%,29384,,,
1920,5731,14077,29%,71%,19808,,,
1921,5614,14777,28%,72%,20391,,,
1922,4344,13001,25%,75%,17345,,,
1923,4292,14018,23%,77%,18310,,,
1924,4246,12708,25%,75%,16954,57871.0,188044,24%
1925,4402,13643,24%,76%,18045,46204.0,138950,25%
1926,4418,13759,24%,76%,18177,63472.0,315939,17%
1927,3889,13297,23%,77%,17186,,,
1928,4536,13638,25%,75%,18174,,,
1929,5110,13519,27%,73%,18629,,,
1930,4936,13783,26%,74%,18719,,,
1931,4922,14755,25%,75%,19677,,,
1932,4618,15765,23%,77%,20383,,,
1933,4733,13862,25%,75%,18595,,,
1934,4640,12929,26%,74%,17569,,,
1935,5663,14319,28%,72%,19982,,,
1936,6077,14469,30%,70%,20546,,,
1937,6187,15740,28%,72%,21927,,,
1938,6137,15766,28%,72%,21903,,,
1939,8500,24272,26%,74%,32772,,,
1940,7431,35993,17%,83%,43424,,,
1941,5752,41133,12%,88%,46885,,,
1942,4954,56829,8%,92%,61783,,,
1943,6002,50358,11%,89%,56360,,,
1944,6769,47060,13%,87%,53829,,,
1945,8785,45105,16%,84%,53890,,,
1946,8946,33498,21%,79%,42444,,,
1947,7610,29838,20%,80%,37448,,,
1948,6829,23635,22%,78%,30464,,,
1949,6463,23273,22%,78%,29736,,,
1950,7145,26086,22%,78%,33231,,,
1951,7150,25202,22%,78%,32352,,,
1952,5629,21624,21%,79%,27253,,,
1953,5739,20127,22%,78%,25866,,,
1954,5250,16844,24%,76%,22094,,,
1955,5380,15503,26%,74%,20883,,,
1956,5355,14759,27%,73%,20114,,,
1957,4351,12420,26%,74%,16771,,,
1958,4062,11971,25%,75%,16033,,,
1959,4585,12476,27%,73%,17061,,,
1960,4605,12399,27%,73%,17004,,,
1961,5234,12658,29%,71%,17892,,,
1962,4763,11393,29%,71%,16156,,,
1963,3998,9496,30%,70%,13494,,,
1964,4649,10457,31%,69%,15106,,,
1965,4925,11487,30%,70%,16412,,,
1966,5534,14388,28%,72%,19922,,,
1967,5658,14895,28%,72%,20553,,,
1968,6421,13490,32%,68%,19911,,,
1969,5164,11590,31%,69%,16754,,,
1970,5008,12372,29%,71%,17380,,,
1971,4012,11200,26%,74%,15212,,,
1972,4932,11395,30%,70%,16327,,,
1973,4968,11931,29%,71%,16899,,,
1974,3917,9977,28%,72%,13894,,,
1975,3700,9963,27%,73%,13663,,,
1976,3086,9756,24%,76%,12842,,,
1977,3700,9212,29%,71%,12912,,,
1978,3161,6773,32%,68%,9934,,,
1979,3468,8587,29%,71%,12055,,,
1980,4561,13539,25%,75%,18100,,,
1981,2859,7995,26%,74%,10854,,,
1982,3415,8668,28%,72%,12083,,,
1983,3066,8322,27%,73%,11388,,,
1984,3241,8460,28%,72%,11701,,,
1985,2954,8684,25%,75%,11638,,,
1986,2714,8866,23%,77%,11580,,,
1987,2972,9079,25%,75%,12051,,,
1988,3489,8924,28%,72%,12413,,,
1989,2978,8664,26%,74%,11642,,,
1990,3136,9668,24%,76%,12804,,,
1991,3512,11856,23%,77%,15368,,,
1992,3042,9511,24%,76%,12553,,,
1993,3478,8543,29%,71%,12021,,,
1994,3293,8130,29%,71%,11423,,,
1995,3244,8278,28%,72%,11522,,,
1996,3215,8366,28%,72%,11581,,,
1997,2944,8185,26%,74%,11129,,,
1998,3207,8868,27%,73%,12075,,,
1999,4010,10381,28%,72%,14391,,,
2000,3678,9699,27%,73%,13377,,,
2001,3879,11908,25%,75%,15787,,,
2002,3802,11964,24%,76%,15766,,,
2003,4128,15751,21%,79%,19879,,,
2004,3144,13229,19%,81%,16373,,,
2005,2774,10802,20%,80%,13576,,,
2006,3930,14613,21%,79%,18543,,,
2007,4128,15479,21%,79%,19607,,,
2008,3737,14097,21%,79%,17834,,,
2009,3936,14318,22%,78%,18254,,,
2010,3854,13446,22%,78%,17300,,,
2011,3958,13161,23%,77%,17119,,,
2012,3590,12310,23%,77%,15900,,,
2013,3659,11043,25%,75%,14702,,,
2014,10822,27704,28%,72%,38526,,,
