year,red,orange,yellow,green,blue,indigo,violet,people,have
1985,5517,1636,1397,3965,4056,28,120,27890,52832
1986,5686,1570,1494,4103,4148,38,104,29207,54816
1987,5432,1552,1347,3609,4200,37,114,28718,53612
1988,5417,1554,1327,3955,3897,44,100,28915,53441
1989,5339,1566,1418,4133,3916,55,81,28478,52059
1990,5515,1586,1497,3623,3764,59,98,27838,50740
1991,5146,1449,1436,3513,3746,49,85,26711,48286
1992,5374,1563,1275,3667,4157,37,78,27211,48299
1993,5100,1354,1271,3818,4191,38,82,26525,46442
1994,4986,1527,1362,3869,3815,49,78,26606,45522
1995,5421,1755,1350,3792,3957,39,82,26726,46715
1996,5707,1699,1523,4398,4189,41,105,28882,48534
1997,5764,1702,1566,4452,4412,47,138,28074,49700
1998,6381,1912,1840,4871,4925,57,139,29463,53821
1999,6462,1993,1844,4926,5020,56,125,31279,55284
2000,6626,2066,1756,5369,5373,75,152,33068,57267
2001,7048,1937,1802,5300,5380,56,127,33384,57186
2002,7224,1943,1871,5255,5274,64,128,34133,59355
2003,7283,2180,1878,4982,5015,40,117,33867,58484
2004,7775,2079,1862,5041,5183,57,141,32620,56417
2005,7573,2211,1729,5009,4955,60,121,32740,56741
2006,9396,2672,2328,6853,6196,65,159,39715,73070
2007,9823,2707,2295,7567,6241,112,153,44256,82084
2008,10784,2603,2191,8662,7193,87,194,45394,85546
2009,10887,3168,2288,9854,6879,82,199,48257,92154
2010,10645,2896,2422,9256,6840,93,185,46911,89632
2011,10476,2568,2217,8965,6704,110,294,46641,84759
2012,10522,2325,2258,7991,6609,83,181,44947,81820
2013,8825,2109,2058,5850,5637,92,201,38963,68268
2014,16249,3900,3629,10678,10064,133,324,93552,180470
